id,0,1,2,3,4,5
146,0,1,10,0,8,31
147,0,0,2,0,10,8
2725,0,0,0,0,27,5
776,0,0,20,0,85,95
143,0,0,5,0,46,42
141,0,0,11,0,27,19
1270,0,0,1,0,9,17
613,0,0,2,0,12,3
2878,0,0,12,0,4,6
2984,0,0,21,0,14,18
148,0,2,8,0,8,3
3355,0,0,3,0,27,20
2079,0,0,10,0,9,7
3702,0,0,26,0,28,17
1886,0,0,10,0,13,8
484,0,0,0,0,43,17
3359,0,1,7,0,38,29
482,0,0,0,0,19,56
1287,0,2,3,0,30,34
1417,0,0,10,0,21,0
3540,0,0,23,0,9,5
1280,0,0,1,0,11,22
2336,0,0,24,0,19,29
3543,0,0,0,0,28,56
768,0,0,35,0,32,11
2083,0,0,0,0,9,64
1975,0,0,1,0,5,29
1289,0,2,11,0,30,51
2087,0,0,17,0,19,20
1809,0,11,3,0,11,2
433,0,0,0,0,4,5
2401,0,3,44,0,27,1
41,0,0,8,0,26,4
1768,0,0,10,0,7,5
1493,0,4,3,0,21,9
2007,0,1,0,0,3,12
474,0,0,2,0,27,47
2142,0,1,11,0,13,18
1762,0,0,1,0,8,13
2533,0,0,0,0,21,3
1478,0,0,1,0,12,4
479,0,0,4,0,22,24
807,0,3,8,0,28,12
1193,0,1,33,0,36,0
1765,0,1,6,0,20,9
