id,0,1,2,3,4,5
1304,0,1,6,0,21,42
217,0,0,5,0,4,11
214,0,1,0,0,4,13
1307,0,1,6,0,14,15
2961,0,0,0,0,2,14
1303,0,7,31,0,42,49
2846,0,1,8,0,20,19
1262,0,0,23,0,40,6
664,0,0,2,0,9,4
2843,0,0,25,0,56,26
3490,0,1,0,0,18,4
660,0,0,9,0,22,8
1818,0,0,0,0,6,8
136,0,0,14,0,16,2
3329,0,0,0,0,6,12
571,0,0,6,0,8,5
138,0,3,10,0,30,7
93,0,0,1,0,2,58
2620,0,0,5,0,47,21
24,0,0,14,0,34,4
25,0,0,24,0,17,6
20,0,6,5,0,28,31
21,0,6,29,0,22,2
2523,0,0,0,0,4,2
1079,0,11,50,0,62,32
297,0,0,3,0,16,4
160,0,0,4,0,19,33
966,0,0,20,0,20,8
1514,0,0,1,0,4,6
29,0,1,1,0,32,7
2481,0,0,5,0,38,17
406,0,0,17,0,33,15
540,0,0,0,0,4,22
527,0,0,10,0,27,11
546,0,0,16,0,8,31
4,0,1,9,0,34,121
544,0,0,28,0,106,26
1279,0,4,45,0,42,32
1379,0,0,0,0,31,43
283,0,0,16,0,9,1
3280,0,0,11,0,3,19
2158,0,0,0,0,19,11
1823,0,0,4,0,18,17
409,0,0,0,0,0,24
1673,0,2,29,0,5,2
2461,0,0,0,0,20,14
1310,0,0,10,0,33,34
1792,0,4,0,0,2,20
758,0,0,9,0,7,8
1790,0,1,11,0,7,1
999,0,0,19,0,45,36
1150,0,0,1,0,28,31
1152,0,0,8,0,7,27
3346,0,2,8,0,45,16
1014,0,3,24,0,15,33
122,0,0,9,0,14,5
123,0,0,23,0,29,5
661,0,0,10,0,9,3
1953,0,0,13,0,24,21
378,0,7,25,0,17,13
2129,0,0,0,0,6,13
1555,0,0,12,0,17,39
1016,0,0,31,0,61,50
2498,0,0,4,0,13,12
3561,0,0,1,0,26,4
3566,0,0,13,0,30,10
916,0,0,3,0,26,6
415,0,4,10,0,12,15
1825,0,8,61,0,152,126
54,0,0,3,0,22,62
1556,0,0,0,0,1,8
51,0,5,38,0,87,49
1820,0,0,6,0,20,16
53,0,0,12,0,24,27
363,0,0,20,0,78,94
2491,0,0,60,0,12,28
535,0,0,1,0,20,12
417,0,0,3,0,26,30
532,0,1,5,0,12,19
298,0,1,22,0,28,1
371,0,0,9,0,66,43
1872,0,1,9,0,9,28
361,0,0,0,0,20,9
418,0,0,0,0,6,11
419,0,0,0,0,10,9
377,0,1,0,0,24,16
499,0,37,47,0,23,14
2477,0,0,0,0,33,12
1320,0,0,1,0,7,33
2474,0,0,40,0,55,30
595,0,0,16,0,3,2
2470,0,0,5,0,56,15
313,0,1,1,0,15,13
312,0,0,0,0,4,11
311,0,1,22,0,17,20
310,0,3,15,0,1,0
317,0,5,13,0,2,1
10,0,1,18,0,68,60
969,0,0,3,0,21,3
393,0,3,28,0,32,23
619,0,0,5,0,7,4
111,0,0,2,0,8,42
3273,0,0,21,0,27,19
3308,0,0,9,0,7,0
176,0,0,0,0,5,19
1928,0,3,23,0,20,11
1428,0,2,27,0,23,3
2408,0,0,18,0,3,5
3303,0,0,2,0,7,6
792,0,0,8,0,7,17
3028,0,0,0,0,15,4
2072,0,0,24,0,11,19
3587,0,0,6,0,7,26
416,0,0,6,0,22,30
3651,0,0,14,0,6,9
713,0,0,0,0,14,9
2383,0,1,31,0,59,38
1408,0,1,3,0,6,1
7,0,0,1,0,13,11
1251,0,0,0,0,9,14
2047,0,0,3,0,12,10
367,0,0,13,0,15,12
364,0,0,5,0,42,42
422,0,0,7,0,28,5
1392,0,0,3,0,26,23
1258,0,0,64,0,70,17
411,0,0,5,0,58,13
3214,0,0,5,0,35,14
584,0,0,1,0,10,12
3583,0,5,29,0,25,7
3584,0,0,1,0,15,20
2259,0,2,3,0,3,0
3586,0,0,2,0,49,28
581,0,0,16,0,65,38
1336,0,0,1,0,14,2
1137,0,0,15,0,42,12
446,0,2,6,0,0,2
1332,0,1,4,0,55,14
380,0,0,9,0,14,4
1937,0,0,3,0,18,6
387,0,1,71,0,54,22
388,0,0,1,0,4,4
2830,0,7,8,0,4,8
784,0,0,1,0,25,17
785,0,0,3,0,76,77
1647,0,0,4,0,15,51
295,0,0,15,0,3,4
1980,0,1,5,0,16,29
841,0,0,8,0,30,22
