id,left_0,left_1,left_2,left_3,left_4,left_5,right_0,right_1,right_2,right_3,right_4,right_5,direct_0,direct_1,direct_2,direct_3,direct_4,direct_5
1872,0,0,0,0,0,18,0,0,2,0,6,2,0,1,7,0,3,8
361,0,0,0,0,0,1,0,0,0,0,15,6,0,0,0,0,5,2
418,0,0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,2,4
419,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,3,8
377,0,0,0,0,9,1,0,0,0,0,3,7,0,1,0,0,12,8
499,0,1,1,0,0,0,0,10,22,0,11,14,0,26,24,0,12,0
2477,0,0,0,0,0,0,0,0,0,0,23,9,0,0,0,0,10,3
1320,0,0,0,0,1,8,0,0,0,0,3,8,0,0,1,0,3,17
2474,0,0,15,0,5,1,0,0,1,0,21,23,0,0,24,0,29,6
595,0,0,0,0,0,1,0,0,1,0,3,1,0,0,15,0,0,0
2470,0,0,0,0,0,1,0,0,0,0,1,5,0,0,5,0,55,9
313,0,0,0,0,2,7,0,0,0,0,4,1,0,1,1,0,9,5
312,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,9
311,0,0,2,0,0,0,0,1,2,0,1,15,0,0,18,0,16,5
310,0,0,0,0,0,0,0,0,2,0,0,0,0,3,13,0,1,0
317,0,1,0,0,0,0,0,0,0,0,0,0,0,4,13,0,2,1
10,0,0,0,0,5,3,0,0,3,0,14,23,0,1,15,0,49,34
969,0,0,1,0,0,2,0,0,1,0,10,1,0,0,1,0,11,0
393,0,0,1,0,3,8,0,2,13,0,1,4,0,1,14,0,28,11
619,0,0,0,0,0,1,0,0,1,0,1,1,0,0,4,0,6,2
111,0,0,0,0,1,20,0,0,0,0,0,6,0,0,2,0,7,16
3273,0,0,0,0,0,3,0,0,14,0,6,1,0,0,7,0,21,15
3308,0,0,0,0,2,0,0,0,6,0,1,0,0,0,3,0,4,0
176,0,0,0,0,0,17,0,0,0,0,2,1,0,0,0,0,3,1
1928,0,2,2,0,1,3,0,0,8,0,8,4,0,1,13,0,11,4
1428,0,0,2,0,2,0,0,0,1,0,2,1,0,2,24,0,19,2
2408,0,0,0,0,0,0,0,0,14,0,1,1,0,0,4,0,2,4
3303,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,7,4
792,0,0,0,0,1,1,0,0,0,0,3,3,0,0,8,0,3,13
3028,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,8,0
2072,0,0,1,0,0,0,0,0,13,0,1,4,0,0,10,0,10,15
3587,0,0,0,0,1,2,0,0,0,0,1,5,0,0,6,0,5,19
416,0,0,0,0,3,4,0,0,1,0,5,8,0,0,5,0,14,18
3651,0,0,0,0,1,0,0,0,0,0,1,3,0,0,14,0,4,6
713,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,8
2383,0,1,0,0,5,7,0,0,2,0,5,20,0,0,29,0,49,11
1408,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,4,1
7,0,0,0,0,3,2,0,0,0,0,3,1,0,0,1,0,7,8
1251,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,5,8
